decade,immig_cohort,weighted_count,count,weighted_mean
1970,1919 or earlier,3443700,34437,2.3235763858640417
1970,1920s,781800,7818,2.435021744691737
1970,1930s,342400,3424,2.473714953271028
1970,1940s,613500,6135,2.586471067644662
1970,1950s,1913200,19132,2.6410202801588962
1970,1960s,3083000,30830,2.333668504703211
1980,1940s,3286380,164319,2.3864251851581377
1980,1950s,1879100,93955,2.688680751423554
1980,1960s,3057000,152850,2.588223748773307
1980,1970s,5440320,272016,2.240592465149109
1990,1940s,1991488,98817,2.546553632258894
1990,1950s,2040913,98371,2.7920308214999854
1990,1960s,3347678,157676,2.654987427106191
1990,1970s,5427981,254903,2.482969450335217
1990,1980s,9509848,441217,2.1353036347163488
2000,1919 or earlier,69003,3478,2.3624045331362407
2000,1920s,215542,10702,2.452867654563844
2000,1930s,160805,7962,2.5964304592518888
2000,1940s,580932,28683,2.673925691819352
2000,1950s,1765229,86017,2.789487369627397
2000,1960s,3054196,145996,2.767321416176303
2000,1970s,5221914,244570,2.6037389738705006
2000,1980s,9016826,416939,2.3835164391549752
2000,1990s,13446147,613546,2.1600379647790553
2010,1919 or earlier,7761,423,2.4004638577502897
2010,1920s,70114,3907,2.5472230938186384
2010,1930s,85903,4880,2.67371337438739
2010,1940s,392939,22111,2.787111994482604
2010,1950s,1449717,79455,2.8880885027905445
2010,1960s,2777009,142538,2.984335304638912
2010,1970s,4762638,225620,3.029966585745127
2010,1980s,8064530,352819,2.938253934203233
2010,1990s,11458442,469217,2.8334325033019323
2010,2000s,13132892,503676,2.5818032311542654
2020,1930s,55664,2881,2.6092806841046277
2020,1940s,200215,10590,2.7681692180905526
2020,1950s,1013100,54642,2.868177869904254
2020,1960s,2302920,114858,2.958014173310406
2020,1970s,4213862,196682,3.0339783315163147
2020,1980s,7087772,306536,2.997755147880039
2020,1990s,10075143,402423,2.9373673405925853
2020,2000s,11729548,442359,2.861525098835863
2020,2010s,12364587,452654,2.649316794810858
2023,1930s,39748,426,2.7196840092583274
2023,1940s,167802,1952,2.7947163919381177
2023,1950s,908787,10497,2.8598439458310914
2023,1960s,2119026,23227,2.9494701811115105
2023,1970s,3964914,40517,3.028011200242931
2023,1980s,6788186,64269,3.0073265523366626
2023,1990s,9509012,83880,2.9673675877157373
2023,2000s,11135639,92876,2.9130842873049314
2023,2010s,12284929,98495,2.7664969817896385
2023,2020s,5758259,44039,2.5426933731185066
