decade,race_eth,us_born,weighted_count,count,weighted_mean
1970,Black,FALSE,255600,2556,4.214006259780907
1980,Black,FALSE,777320,38866,4.021638450059178
1990,Black,FALSE,1299278,51330,3.9945223424086302
2000,Black,FALSE,2033972,86556,3.8829703653737613
2010,Black,FALSE,3162988,121410,3.7012280792718784
2020,Black,FALSE,4301182,133766,3.720573553967258
2023,Black,FALSE,4565479,29536,3.7095165698933235
1970,Black,TRUE,21392400,213924,5.097955348628485
1980,Black,TRUE,24694940,1234747,4.287648400846489
1990,Black,TRUE,26671868,1185111,3.9021760680579254
2000,Black,TRUE,29999600,1376847,3.6842221229616396
2010,Black,TRUE,32898476,1328069,3.4163907470972212
2020,Black,TRUE,34163543,1114620,3.28569940769902
2023,Black,TRUE,33402457,223118,3.241828378074104
1970,Hispanic,FALSE,1857000,18570,4.500700053850296
1980,Hispanic,FALSE,4207220,210361,4.577036618004288
1990,Hispanic,FALSE,7917250,378808,5.00859894534087
2000,Hispanic,FALSE,14276952,675628,5.031576767926375
2010,Hispanic,FALSE,18768784,732005,4.345298502023359
2020,Hispanic,FALSE,20546801,742325,4.01309040760165
2023,Hispanic,FALSE,22060485,172658,3.990309188578583
1970,Hispanic,TRUE,5829400,58294,5.348869523450098
1980,Hispanic,TRUE,10297580,514879,4.539631641609
1990,Hispanic,TRUE,13438168,657716,4.417882333365679
2000,Hispanic,TRUE,20205135,976709,4.476986419541369
2010,Hispanic,TRUE,30802609,1262504,4.287468181672533
2020,Hispanic,TRUE,40108751,1466051,4.138215572955637
2023,Hispanic,TRUE,41884867,336449,4.067099962380207
1970,White,FALSE,7468800,74688,3.1643503641816624
1980,White,FALSE,7476360,373818,3.024643008094848
1990,White,FALSE,7112396,343644,3.0232101812103824
2000,White,FALSE,7956626,373881,3.0508873987541953
2010,White,FALSE,8832314,429485,2.998415817191282
2020,White,FALSE,9202184,431816,3.007245997254565
2023,White,FALSE,9076987,91831,2.9827569434659322
1970,White,TRUE,158096300,1580963,4.039883286326119
1980,White,TRUE,168553820,8427691,3.4615329394492513
1990,White,TRUE,176170849,9181355,3.2402937503014475
2000,White,TRUE,181551985,9349833,3.159780125786011
2010,White,TRUE,183346524,9777787,3.0955724909188898
2020,White,TRUE,181065759,9397132,3.0806940477354416
2023,White,TRUE,177699787,1980798,3.0364623453375326
